,text,notes,date
https://arstechnica.com/gaming/2020/08/how-cell-phones-and-facebook-are-changing-remote-nunatsiavut/,How cell phones and Facebook are changing remote Nunatsiavut,,20200804-0030
https://arstechnica.com/science/2020/08/more-data-but-still-confusion-over-how-much-children-spread-sars-cov-2/,"More data, but still confusion over how much children spread SARS-CoV-2",,20200804-0030
https://arstechnica.com/gaming/2020/08/genki-covert-is-a-75-ultra-portable-dock-for-nintendo-switch/,Genki Covert is a $75 ultra-portable dock for Nintendo Switch,,20200804-0030
https://arstechnica.com/gaming/2020/08/a-different-kind-of-gamer-hotline-free-anonymous-emotional-support/,"A different kind of “gamer” hotline: Free, anonymous emotional support",,20200804-0030
https://arstechnica.com/gadgets/2020/08/adt-will-exclusively-install-nest-hardware-in-450-million-google-deal/,"Google invests $450 million in ADT, gets exclusive hardware deal",,20200804-0030
https://arstechnica.com/tech-policy/2020/08/protonmail-founder-apple-uses-monopoly-to-hold-all-of-us-hostage/,ProtonMail founder: Apple uses monopoly to “hold all of us hostage”,,20200804-0030
https://arstechnica.com/science/2020/08/today-may-be-the-day-spacexs-starship-prototype-takes-flight/,Watch Live: SpaceX clears pad in advance of hop Monday evening [Updated],,20200804-0030
https://arstechnica.com/tech-policy/2020/08/fcc-seeks-public-comment-on-trumps-attempt-to-punish-twitter-and-facebook/,Ajit Pai calls for “vigorous debate” on Trump’s social media crackdown,,20200804-0030
https://arstechnica.com/gadgets/2020/08/android-version-of-popular-dark-sky-weather-app-shuts-down/,"In wake of Apple acquisition, Dark Sky ends Android support",,20200804-0030
https://arstechnica.com/tech-policy/2020/08/microsoft-in-talks-to-acquire-tiktok-after-trump-ultimatum/,Trump administration gives TikTok 45 days to sell to Microsoft or leave US [Updated],,20200804-0030
https://arstechnica.com/gaming/2020/08/the-umbrella-academy-comes-back-stronger-than-ever-with-briskly-paced-s2/,The Umbrella Academy comes back stronger than ever with briskly paced S2,,20200804-0030
https://arstechnica.com/gadgets/2020/08/google-finally-announces-the-pixel-4a-for-349/,Google finally announces the Pixel 4a for $349,,20200804-0030
https://arstechnica.com/information-technology/2020/08/spacex-now-plans-for-5-million-starlink-customers-in-us-up-from-1-million/,"SpaceX now plans for 5 million Starlink customers in US, up from 1 million",,20200804-0030
https://arstechnica.com/gaming/2020/08/ps4-gamepads-wont-work-for-ps5-games-sony-says/,"PS4 gamepads won’t work for PS5 games, Sony says",,20200804-0030
https://arstechnica.com/science/2020/08/after-a-splendid-flight-test-nasa-now-has-a-new-ride-to-space/,"After a splendid flight test, NASA now has a new ride to space",,20200804-0030
https://arstechnica.com/science/2020/08/dragonship-endeavour-is-flying-free-on-its-way-back-to-earth/,"Dragonship Endeavour is flying free, on its way back to Earth",,20200804-0030
https://arstechnica.com/cars/2020/08/tesla-rival-lucid-looks-to-one-up-autopilot-with-long-range-lidar/,Electric car startup Lucid is challenging Tesla’s anti-lidar stance,,20200804-0030
https://arstechnica.com/science/2020/08/the-final-launch-to-mars-for-the-next-two-years-looked-pretty-epic/,The final launch to Mars for the next two years looked pretty epic,,20200804-0030
https://arstechnica.com/tech-policy/2020/08/whats-this-a-bipartisan-plan-for-ai-and-national-security/,What’s this? A bipartisan plan for AI and national security,,20200804-0030
https://arstechnica.com/science/2020/07/even-before-crew-dragon-returns-from-space-nasa-endorses-reuse-for-humans/,"More quickly than anyone expected, NASA embraces reuse for human flights",,20200804-0030
https://arstechnica.com/features/2020/06/human-interface-come-on-a-tour-of-an-f-15c-fighter-jet-cockpit/,Human Interface: What (almost) every button in an F-15C fighter’s cockpit does,,20200804-0030
https://arstechnica.com/science/2020/07/flu-and-other-infectious-diseases-numbers-are-down-as-covid-19-rages/,"As COVID-19 rages around the globe, other infectious diseases shrink away",,20200804-0030
https://arstechnica.com/tech-policy/2020/07/florida-teen-arrested-charged-with-being-mastermind-of-twitter-hack/,"Florida teen charged as “mastermind” in Twitter hack hitting Biden, Bezos, and others",,20200804-0030
https://arstechnica.com/gaming/2020/07/retail-listing-points-to-free-to-play-multiplayer-for-halo-infinite/,Microsoft confirms “free-to-play multiplayer” for Halo Infinite [Updated],,20200804-0030
https://arstechnica.com/science/2020/07/using-pristine-southern-ocean-air-to-estimate-pre-industrial-pollution/,Using pristine Southern Ocean air to estimate pre-industrial pollution,,20200804-0030
https://arstechnica.com/science/2020/07/neurologists-warn-of-the-danger-of-stem-cell-tourism/,Neurologists warn of the danger of “stem cell tourism”,,20200804-0030
https://arstechnica.com/gadgets/2020/07/red-hat-and-centos-systems-arent-booting-due-to-boothole-patches/,Red Hat and CentOS systems aren’t booting due to BootHole patches,,20200804-0030
https://arstechnica.com/science/2020/07/human-sperm-swim-more-like-otters-than-eels-study-finds/,"Human sperm swim more like otters than eels, study finds",,20200804-0030
https://arstechnica.com/cars/2020/07/gm-teams-up-with-evgo-to-deploy-more-than-2700-new-dc-fast-chargers/,"GM teams up with EVgo to deploy more than 2,700 new DC fast chargers",,20200804-0030
https://arstechnica.com/staff/2020/07/a-number-of-good-usb-c-chargers-and-cables-are-on-sale-today/,A number of good USB-C chargers and cables are on sale today,,20200804-0030
https://arstechnica.com/information-technology/2020/07/amazon-gets-fcc-approval-to-launch-3236-low-earth-broadband-satellites/,Amazon investing $10 billion to compete against SpaceX in satellite broadband,,20200804-0030
https://arstechnica.com/gadgets/2020/07/google-suffers-first-revenue-decline-as-ads-hit-by-pandemic/,Google suffers first revenue decline as ads hit by pandemic,,20200804-0030
https://arstechnica.com/gadgets/2020/07/huawei-claims-1-smartphone-spot-after-samsung-sales-plummet/,"Huawei somehow becomes the #1 phone manufacturer, thanks to the coronavirus",,20200804-0030
https://arstechnica.com/science/2020/07/covid-19-hospital-data-is-a-hot-mess-after-feds-take-control/,COVID-19 hospital data is a hot mess after feds take control,,20200804-0030
https://arstechnica.com/science/2020/07/rocket-report-georgia-spaceport-fight-is-contentious-proton-set-for-2020-debut/,"Rocket Report: SpaceX seeks 20km hop license, why Rocket Lab funder left",,20200804-0030
https://arstechnica.com/gadgets/2020/07/ibm-completes-successful-field-trials-on-fully-homomorphic-encryption/,IBM completes successful field trials on Fully Homomorphic Encryption,,20200804-0030
https://arstechnica.com/information-technology/2020/07/twitter-hackers-used-phone-spear-phishing-in-mass-account-takeover/,Twitter hackers used “phone spear phishing” in mass account takeover,,20200804-0030
