,text,notes,date
https://www.thedailybeast.com/idahos-lt-gov-janice-mcgeachin-has-gone-rogue-over-coronavirus,Idaho’s Anti-Lockdown Lieutenant Governor Has Gone Rogue,,20200526-0000
/leonardo-dicaprios-big-middle-finger-to-the-confederacy,Leonardo DiCaprio’s Big Middle Finger to the Confederacy,,20200526-0000
/trumps-fifth-simple-trick-for-stealing-the-election-will-give-you-nightmaresand-tear-america-apart,Trump’s Five Simple Tricks for Stealing the Election,,20200526-0000
/summer-tv-preview-2020-50-hottest-shows-from-hamilton-to-ryan-murphy,Summer 2020 TV Preview: The 50 (!!!) Shows Worth Watching,,20200526-0000
/coronavirus-victims-deserve-recognition-trump-refuses-to-give,Trump Refuses to Mourn Them. We Must.,,20200526-0000
/why-covid-19-mutations-are-actually-a-good-thing,Why COVID-19 Mutations Are Actually a Good Thing,,20200526-0000
/tiktok-approved-products-that-youll-want-to-buy-immediately,TikTok Is Making People Buy These Under-the-Radar Products,,20200526-0000
/uconn-student-peter-manfredonias-parents-beg-him-to-surrender,Parents of CT Student Wanted in Rampage Beg Him to Surrender,,20200526-0000
/the-coronavirus-is-also-spreading-a-dark-new-era-of-neo-feudalism,The Virus Is Also Spreading a Dark New Era of Neo-Feudalism,,20200526-0000
/trumpsters-are-already-revolting-against-covid-contact-tracing,Trumpsters Are Revolting Against COVID Contact Tracing,,20200526-0000
/coronavirus-has-turned-hawaii-paradise-into-a-privacy-nightmare,COVID Has Turned Paradise Into a Privacy Nightmare,,20200526-0000
/broadway-league-president-charlotte-st-martin-hopes-for-january-reopeningwith-full-theaters-and-masks,Broadway Chief Hopes for January Reopening—and Full Theaters,,20200526-0000
/russias-pushing-a-quack-covid-19-cure-all-over-africa,Russia’s Pushing a Quack COVID Cure All Over Africa,,20200526-0000
/lance-armstrong-proves-hes-no-michael-jordan-and-still-a-huge-asshole,Lance Armstrong Proves He’s Still a Huge A**hole,,20200526-0000
/the-ruthless-and-racist-mom-shaming-of-meghan-markle,The Ruthless (and Racist) Mom-Shaming of Meghan Markle,,20200526-0000
/the-most-badass-movie-character-of-the-year-is-a-surly-chinese-grandma,This Grandma Is the Most Badass Movie Character of the Year,,20200526-0000
/free-advice-for-biden-make-no-stupid-campaign-promises,Free Advice for Biden: Make No Stupid Campaign Promises,,20200526-0000
/heres-what-trumps-black-male-supporters-say-they-see-in-him,What Trump’s Black Male Supporters Say They See in Him,,20200526-0000
/pelosis-good-at-riling-trump-up-but-whats-her-endgame,Pelosi’s Good at Riling Trump Up. But What’s Her Endgame?,,20200526-0000
/bill-barrs-bullshit-weaponizes-justices-civil-rights-division-to-fight-against-trumps-own-covid-19-guidance,Bill Barr’s Bullsh*t Weaponizes Civil Rights Division,,20200526-0000
/will-covid-19-wipe-out-the-tribes-of-the-amazon,Will COVID-19 Wipe Out the Tribes of the Amazon?,,20200526-0000
/a-fact-based-fantasy-with-drones-robots-and-rioting-on-the-washington-mall,"This Techno-Fantasy Features Drones, Robots, and a DC Riot",,20200526-0000
/dont-call-it-megxit-harry-not-meghan-drove-decision-to-quit-royal-life-book-claims,"Don’t Call It ‘Megxit.’ This Was Harry’s Choice, Book Claims",,20200526-0000
/the-best-summer-reads-of-2020,The Best Summer Reads of 2020,,20200526-0000
/lockdown-or-not-its-summer-and-celebrities-are-stripping-for-selfies,"Lockdown or Not, Celebrities Are Stripping Off for Summer",,20200526-0000
/try-the-time-after-time-by-scotty-lobianco-bartenders-at-home,Before Dinner Fix this Japanese Whisky Cocktail,,20200526-0000
/up-to-a-dozen-covid-19-variants-in-the-united-states,‘Up to a Dozen’ COVID-19 Variants in the United States,,20200526-0000
/get-ready-to-stand-in-line-for-a-long-time-once-lockdown-ends,Prepare to Stand in Line for a Long Time Once Lockdown Ends,,20200526-0000
/heres-how-to-poop-during-a-pandemic,"Nothing Is Normal Anymore, Not Even Our Poop",,20200526-0000
/the-story-of-an-nypd-officer-sentenced-to-death100-years-ago-today,The Story of an NYPD Officer Sentenced to Death,,20200526-0000
/how-the-sultan-of-brunei-violated-his-sharia-law-with-me,How the Sultan of Brunei Violated His Sharia Law With Me,,20200526-0000
