,text,notes,date
https://abcnews.go.com/US/51-magnitude-earthquake-north-carolina-virginia-border/story?id=72266987,5.1 magnitude earthquake in NC,,20200810-0000
https://abcnews.go.com/Health/wireStory/parties-trips-colleges-set-covid-19-rules-fall-72266779,Colleges set COVID-19 rules for fall semester,,20200810-0000
https://abcnews.go.com/US/wireStory/amid-pandemic-future-catholic-schools-doubt-72266550,"Amid virus, future of Catholic schools is in doubt",,20200810-0000
https://abcnews.go.com/Health/forward-experts-clean-covid-nightmare-charge/story?id=72166587,Experts explain how to fix our COVID-19 nightmare,,20200810-0000
https://abcnews.go.com/International/wireStory/israeli-military-strikes-hamas-target-northern-gaza-strip-72271791,Israeli military strikes Hamas target in northern Gaza Strip,,20200810-0000
https://abcnews.go.com/US/dead-20-injured-overnight-shooting-incident-washington-dc/story?id=72266780,"Teen dead, off-duty cop injured in shooting",,20200810-0000
https://abcnews.go.com/US/summertime-storms-roll-upper-midwest-august-heat-plains/story?id=72266599,Summertime storms roll through upper Midwest,,20200810-0000
https://abcnews.go.com/Politics/wireStory/postal-service-emerges-flash-point-heading-election-72266422,Postal Service is a flash point heading into Nov.,,20200810-0000
https://abcnews.go.com/US/nasa-drops-insensitive-celestial-nicknames-effort-address-systemic/story?id=72266188,NASA drops 'insensitive' celestial nicknames,,20200810-0000
https://abcnews.go.com/US/kansas-mother-missing-trip-visit-family-alabama/story?id=72261509,Mother of 3 missing on trip to visit family,,20200810-0000
https://abcnews.go.com/US/people-test-positive-coronavirus-georgia-school-viral-crowded/story?id=72263772,9 test positive for COVID at crowded school,,20200810-0000
https://abcnews.go.com/US/coronavirus-live-updates-georgia-school-district-100-students/story?id=72250543,Brazil is 2nd country to have 100k COVID-19 deaths,,20200810-0000
https://abcnews.go.com/US/coronavirus-updates-biden-boggles-mind-breaks-heart-us/story?id=72265662,Coronavirus updates: New York state's positivity rate reaches new low,,20200810-0000
/Politics/wireStory/ohio-governors-conflicting-covid-19-tests-raise-backlash-72266677,Ohio governor's conflicting COVID-19 tests raise backlash,,20200810-0000
https://abcnews.go.com/US/helicopter-crash-kills-wildlife-researchers-conducting-aerial-sheep/story?id=72269712,Helicopter crash kills wildlife researchers conducting aerial sheep survey,,20200810-0000
https://abcnews.go.com/Politics/kudlow-defends-trumps-coronavirus-executive-actions-accusations-ineffective/story?id=72260557,Kudlow defends Trump's executive actions against accusations they are ineffective,,20200810-0000
/Politics/schumer-denounces-paltry-unworkable-trump-coronavirus-executive-actions/story?id=72260554,Schumer denounces 'paltry' and 'unworkable' Trump coronavirus executive actions,,20200810-0000
/Politics/trump-sign-executive-orders-coronavirus-relief/story?id=72257640,Trump signs 4 executive actions on coronavirus relief,,20200810-0000
https://abcnews.go.com/Health/timeline-tracking-trump-alongside-scientific-developments-hydroxychloroquine/story?id=72170553,Timeline: Tracking Trump alongside scientific developments on hydroxychloroquine,,20200810-0000
https://abcnews.go.com/Politics/wireStory/kahele-wins-hawaii-democratic-primary-congress-72264809,Kahele wins Hawaii Democratic primary for Gabbard's seat,,20200810-0000
https://abcnews.go.com/Politics/joe-bidens-comments-diversity-black-community-worry-blunders/story?id=72246145,"After Biden's comments on Black diversity, some worry blunders could impact support",,20200810-0000
https://abcnews.go.com/Politics/michigan-gov-gretchen-whitmer-met-biden-amid-vp/story?id=72255948,Michigan Gov. Gretchen Whitmer met with Biden amid VP selection process,,20200810-0000
https://abcnews.go.com/Politics/china-working-trumps-reelection-russia-spreads-disinformation-biden/story?id=72241806,"Russia working to boost Trump's reelection, 'denigrate' Biden: US intelligence report",,20200810-0000
https://abcnews.go.com/Politics/string-attacks-doctors-experts-trump-takes-aim-science/story?id=72170408,"Trump takes aim at science with string of attacks on doctors, experts: ANALYSIS",,20200810-0000
