,text,notes,date
http://www.breitbart.com/politics/2020/06/10/seattle-protesters-issue-demands-abolish-police-grant-amnesty-give-free-health-care-and-college/,"Seattle Protesters Issue Demands: Abolish Police, Grant Amnesty, Give Free Health Care and College",,20200611-0000
http://www.breitbart.com/politics/2020/06/10/ann-coulter-why-you-no-longer-recognize-your-country/,Ann Coulter: Why You No Longer Recognize Your Country,,20200611-0000
http://www.breitbart.com/news/nascar-bans-confederate-flag-from-its-races-and-properties/,NASCAR bans Confederate flag from its races and properties,,20200611-0000
http://www.breitbart.com/politics/2020/06/10/donald-trump-rejects-call-to-rename-military-bases-wont-tamper-with-our-history/,Trump Rejects Call to Rename Military Bases Named After Confederate Leaders,,20200611-0000
http://www.breitbart.com/crime/2020/06/10/las-vegas-cop-shot-head-may-need-ventilator-rest-his-life/,Las Vegas Cop Shot in Head May Need Ventilator for Life,,20200611-0000
http://www.breitbart.com/politics/2020/06/10/gretchen-whitmer-supports-the-spirit-of-defund-the-police-then-backtracks/,Whitmer Supports ‘Spirit’ of ‘Defund the Police’ — Then Backtracks,,20200611-0000
http://www.breitbart.com/clips/2020/06/10/pelosi-republicans-trying-to-limit-vote-by-mail-because-they-are-afraid-of-the-vote/,Pelosi: Republicans ’Afraid’ of Vote-by-Mail…,,20200611-0000
http://www.breitbart.com/politics/2020/06/10/kayleigh-mcenany-if-you-can-safely-protest-you-can-safely-vote/,"…White House: If You Can Safely Protest, You Can Safely Vote",,20200611-0000
http://www.breitbart.com/entertainment/2020/06/10/matthew-mcconaughey-asks-how-can-i-do-better-as-a-white-man/,Matthew McConaughey Asks ‘How Can I Do Better as a White Man?’,,20200611-0000
http://www.breitbart.com/entertainment/2020/06/10/j-k-rowling-rebukes-trans-activists-attempting-to-police-speech/,J.K. Rowling Rebukes Trans Activists Attempting to ‘Police Speech’,,20200611-0000
http://www.breitbart.com/clips/2020/06/10/schmidt-trump-is-the-second-president-of-the-confederacy/,Schmidt: Trump Is the ‘Second President of the Confederacy’,,20200611-0000
http://www.breitbart.com/politics/2020/06/10/california-deputy-shot-in-ambush-attack-at-police-station/,California Deputy Shot in ‘Ambush’ Attack at Police Station,,20200611-0000
http://www.breitbart.com/politics/2020/06/10/left-lashes-out-at-lara-logan-over-aoc-critique-what-on-earth-happened-to-her/,Left Lashes Out at Lara Logan over AOC Critique: ‘What on Earth Happened’ to Her,,20200611-0000
http://www.breitbart.com/sports/2020/06/10/nascar-allow-protests-during-national-anthem/,NASCAR to Allow Protests During National Anthem,,20200611-0000
http://www.breitbart.com/national-security/2020/06/10/china-media-pressure-u-s-to-close-wuhan-consulate/,China Media Pressure U.S. to Close Wuhan Consulate,,20200611-0000
