,text,notes,date
https://video.foxnews.com/v/6209742229001/,Biden transition advisers suggest lengthy national COVID lockdowns,,20201114-0000
https://video.foxnews.com/v/6209742239001/,Trump jabs New York Gov. Cuomo in vaccine remarks as COVID cases spike,,20201114-0000
https://video.foxnews.com/v/6209742446001/,Biden vows to use presidential power for nationwide mask mandate,,20201114-0000
https://video.foxnews.com/v/6209726066001/,AP projects Trump to win North Carolina's 15 electoral votes,,20201114-0000
https://video.foxnews.com/v/6209716183001/,Does President Trump have a credible claim of election fraud?,,20201114-0000
https://video.foxnews.com/v/6209695150001/,Geraldo speaks about conversation with President Trump,,20201114-0000
https://video.foxnews.com/v/6209675882001/,Sandra Smith concludes week with message to viewers,,20201114-0000
https://video.foxnews.com/v/6209661493001/,Strassel: Pelosi to blame for voting irregularities,,20201114-0000
https://video.foxnews.com/v/6209639193001/,"Geraldo Rivera: Trump should prepare to go out with grace, dignity",,20201114-0000
https://video.foxnews.com/v/6209636015001/,GOP congresswoman-elect on how she flipped California district,,20201114-0000
https://www.foxnews.com/politics/trump-calls-out-cuomo-on-stunting-vaccine-distribution-during-rose-garden-speech,"Trump says emergency use of a COVID vaccine could come soon, as feud with Cuomo escalates",,20201114-0000
https://www.foxnews.com/us/cuomo-governors-will-meet-to-align-coronavirus-policy-as-cases-spike-nationwide,"Cuomo, other governors to meet for coronavirus policy alignment",,20201114-0000
https://www.foxbusiness.com/healthcare/pfizers-covid-19-vaccine-what-to-know,Pfizer's COVID-19 vaccine: What to know,,20201114-0000
https://www.foxnews.com/politics/trump-north-carolina-presidential-election-white-house,Trump projected to win North Carolina,,20201114-0000
https://www.foxnews.com/politics/cuomo-new-york-catholic-brooklyn-coronavirus-restrictions-orders-supreme-court,Gov. Cuomo slammed as 'Big Apple's biggest bigot' for coronavirus restrictions on houses of worship,,20201114-0000
https://www.foxnews.com/politics/andrew-cuomo-wouldve-decked-trump-over-insults-if-he-wasnt-ny-governor,Andrew Cuomo says he 'would've decked' Trump over insults if he wasn't NY governor,,20201114-0000
https://www.foxnews.com/media/trump-remarks-vaccine-distribution-new-york,"CNBC, others misrepresent Trump's remarks on COVID-19 vaccine distribution in New York",,20201114-0000
https://www.foxnews.com/politics/nicole-malliotakis-anti-socialist-squad-house-gop,NY GOP congresswoman-elect wants to form anti-socialist counter group,,20201114-0000
https://www.foxnews.com/politics/nikki-haley-aoc-squad-policies-civility,"Nikki Haley takes on AOC, Squad, ‘ultra-liberal’ policies, rejecting civility",,20201114-0000
https://www.foxnews.com/politics/aocs-new-squad-defund-police-more,"AOC's new 'Squad' members want to defund police, much more",,20201114-0000
https://www.foxnews.com/politics/california-newsom-birthday-party-thanksgiving-limitations,Newsom attends crowded event after urging new Calif. COVID measures,,20201114-0000
https://www.foxnews.com/entertainment/celebrities-rip-californias-gov-newsom-over-coronavirus-thanksgiving-rules,Celebrities rip California's Gov. Newsom over coronavirus Thanksgiving rules,,20201114-0000
https://www.foxnews.com/politics/lori-lightfoot-chicago-thanksgiving-lockdown-biden-celebration-covid,Chicago mayor defends appearing at Biden celebration before issuing Thanksgiving lockdown,,20201114-0000
https://www.foxnews.com/us/michigan-governor-seeks-shutdown-of-great-lakes-oil-pipeline,Michigan governor moves to shut down Great Lakes oil pipeline,,20201114-0000
https://www.foxnews.com/politics/biden-hud-communist-mentor,"Potential Biden HUD secretary pick praised Castro, others",,20201114-0000
https://www.foxnews.com/politics/geraldo-rivera-trump-election-results-white-house,Geraldo Rivera details phone call with Trump about election results,,20201114-0000
https://www.foxnews.com/politics/trump-no-new-lockdowns-under-this-administration,"Trump says no new lockdowns 'under this administration,' 'only time will tell' who's in charge come January",,20201114-0000
https://www.foxbusiness.com/politics/warren-urges-biden-to-bypass-congress-and-cancel-student-loan-debt,"Warren urges Biden to bypass Congress, make longtime liberal dream a reality",,20201114-0000
