,text,notes,date
/2020/05/19/metro/bc-intends-hold-classes-campus/?p1=HP_TrendingBar,boston college,,20200520-0000
/2020/05/19/metro/how-stay-safe-coronavirus-you-venture-out-during-mass-reopening/?p1=HP_TrendingBar,how to stay safe,,20200520-0000
/2020/05/19/nation/mass-reports-873-new-coronavirus-cases-76-new-fatalities-umass-model-predicts-death-toll-will-rise-over-8100/?p1=HP_TrendingBar,Mass. numbers,,20200520-0000
/2020/05/19/business/im-planning-staycation-this-year-can-i-get-refund-summer-rental-i-booked-february/?p1=HP_TrendingBar,fine print,,20200520-0000
/2020/05/19/nation/ventilator-while-carrying-twins/?p1=HP_TrendingBar,pregnant on ventilator,,20200520-0000
/2020/05/19/metro/north-end-restaurateurs-upset-over-delay-reopening-under-baker-plan-mulling-legal-options/?p1=HP_TrendingBar,restaurateurs,,20200520-0000
/2020/04/23/business/ezcater-they-waited-dreaded-e-mail/?p1=HP_TrendingBar,Innovation Economy,,20200520-0000
/2020/05/19/nation/mass-reports-873-new-coronavirus-cases-76-new-fatalities-umass-model-predicts-death-toll-will-rise-over-8100/,"Mass. reports 873 new coronavirus cases, 76 new fatalities; UMass model predicts death toll will rise over 8,100Even as the state tiptoes toward reopening, the state reported Tuesday that the death toll from the coronavirus outbreak in Massachusetts had risen by 76 cases to 5,938, and a new model from the University of Massachusetts Amherst predicted the toll would rise to 8,106 in the next four weeks.",,20200520-0000
/2020/03/10/nation/latest-coronavirus-numbers-massachusetts/,The latest coronavirus numbers from Massachusetts,,20200520-0000
/2020/05/19/nation/coronavirus-boston-massachusetts-may-19/,Walsh says Mass. reopening plan is a ‘thoughtful’ approach but still worries about Boston,,20200520-0000
/2020/05/19/nation/ayanna-pressley-says-mass-isnt-ready-reopen/,"Ayanna Pressley warns Mass. is reopening too quickly, asks Baker to ‘re-evaluate his timeline’",,20200520-0000
/2020/05/19/metro/bc-intends-hold-classes-campus/,BC intends to hold classes on campus,,20200520-0000
/2020/05/18/metro/heres-what-mass-reopening-plan-says-about-colleges-k-12-schools-daycare/,"Here’s what the Massachusetts reopening plan says about colleges, K-12 schools, and day care",,20200520-0000
/2020/05/19/metro/how-stay-safe-coronavirus-you-venture-out-during-mass-reopening/,How to stay safe from coronavirus as you venture out during Mass. reopening  We asked several public health experts about how to best adapt to life in the Coronaverse. Their main advice: proceed with caution.,,20200520-0000
/2020/05/19/nation/mass-houses-worship-can-reopen-under-new-guidelines-new-cdc-study-shows-why/,"Mass. houses of worship can reopen under new guidelines, and a new CDC study shows why",,20200520-0000
